timestamp,x,y,z,r,mode
6608000,0.0,0.0,0.5,0.0,4
7436000,0.0,0.0,0.5,0.0,100
7448000,0.0,0.0,0.5,0.0,2
7716000,0.0,0.0,0.5,0.0,100
7772000,0.0,0.0,0.5,0.0,100
7956000,0.0,0.0,0.5,0.0,100
8152000,0.0,0.0,0.5,0.0,100
8376000,0.0,0.0,0.5,0.0,100
8576000,0.0,0.0,0.5,0.0,100
8760000,0.0,0.0,0.5,0.0,100
8960000,0.0,0.0,0.5,0.0,100
9168000,0.0,0.0,0.5,0.0,100
9360000,0.0,0.0,0.5,0.0,100
9568000,0.0,0.0,0.5,0.0,100
9768000,0.0,0.0,0.5,0.0,100
9968000,0.0,0.0,0.5,0.0,100
10168000,0.0,0.0,0.5,0.0,100
10364000,0.0,0.0,0.5,0.0,100
10560000,0.0,0.0,0.5,0.0,100
10760000,0.0,0.0,0.5,0.0,100
10964000,0.0,0.0,0.5,0.0,100
11160000,0.0,0.0,0.5,0.0,100
11360000,0.0,0.0,0.5,0.0,100
11560000,0.0,0.0,0.5,0.0,100
11764000,0.0,0.0,0.5,0.0,100
11964000,0.0,0.0,0.5,0.0,100
12164000,0.0,0.0,0.5,0.0,100
12360000,0.0,0.0,0.5,0.0,100
12560000,0.0,0.0,0.5,0.0,100
12764000,0.0,0.0,0.5,0.0,100
12960000,0.0,0.0,0.5,0.0,100
13156000,0.0,0.0,0.5,0.0,100
13356000,0.0,0.0,0.5,0.0,100
13556000,0.0,0.0,0.5,0.0,100
13756000,0.0,0.0,0.5,0.0,100
13956000,0.0,0.0,0.5,0.0,100
14156000,0.0,0.0,0.5,0.0,100
14360000,0.0,0.0,0.5,0.0,100
14556000,0.0,0.0,0.5,0.0,100
14756000,0.0,0.0,0.5,0.0,100
14952000,0.0,0.0,0.5,0.0,100
15152000,0.0,0.0,0.5,0.0,100
15352000,0.0,0.0,0.5,0.0,100
15552000,0.0,0.0,0.5,0.0,100
15752000,0.0,0.0,0.5,0.0,100
15952000,0.0,0.0,0.5,0.0,100
16152000,0.0,0.0,0.5,0.0,100
16352000,0.0,0.0,0.5,0.0,100
16548000,0.0,0.0,0.5,0.0,100
16748000,0.0,0.0,0.5,0.0,100
16948000,0.0,0.0,0.5,0.0,100
17148000,0.0,0.0,0.5,0.0,100
17380000,0.0,0.0,0.5,0.0,100
17544000,0.0,0.0,0.5,0.0,100
17744000,0.0,0.0,0.5,0.0,100
17944000,0.0,0.0,0.5,0.0,100
18144000,0.0,0.0,0.5,0.0,100
18344000,0.0,0.0,0.5,0.0,100
18544000,0.0,0.0,0.5,0.0,100
18744000,0.0,0.0,0.5,0.0,100
18944000,0.0,0.0,0.5,0.0,100
19144000,0.0,0.0,0.5,0.0,100
19344000,0.0,0.0,0.5,0.0,100
19580000,0.0,0.0,0.5,0.0,100
19740000,0.0,0.0,0.5,0.0,100
19980000,0.0,0.0,0.5,0.0,100
20072000,0.0,0.0,0.5,0.0,10
20084000,0.0,0.0,0.5,0.0,20
20152000,0.0,0.0,0.5,0.0,100
20356000,0.0,0.0,0.5,0.0,100
20552000,0.0,0.0,0.5,0.0,100
20768000,0.0,0.0,0.5,0.0,100
20960000,0.0,0.0,0.5,0.0,100
21148000,0.0,0.0,0.5,0.0,100
21360000,0.0,0.0,0.5,0.0,100
21560000,0.0,0.0,0.5,0.0,100
21764000,0.0,0.0,0.5,0.0,100
21968000,0.0,0.0,0.5,0.0,100
22164000,0.0,0.0,0.5,0.0,100
